filepath,label,label_idx
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/IMG_20250610_011551_jpg.rf.f6bbea74c9013e7ecaa9c7713b8118a6.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/IMG_20250610_010251_jpg.rf.5568908eeb8e06d099acf7be76db4f45.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Danado/damaged_bean-334-_jpg.rf.14ab051dbd91537269891f727775d44f.jpg,Danado,1
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/IMG_20250610_000532_jpg.rf.3b41644a4d8e8cb2ffde2ac178b14381.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-496-_jpg.rf.fc4707868888070c58a7ca9ec15d79fd.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-134-_jpg.rf.61532e353cc669f35b74a5f44e8e568b.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Danado/damaged_bean-6-_jpg.rf.ad8aff9d364d36086282c5c993c10678.jpg,Danado,1
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-600-_jpg.rf.36a0e8fc965c87e204a97bfb8299d24b.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Danado/damaged_bean-164-_jpg.rf.0c1192f8724222d9181dbf4fe0c9bb25.jpg,Danado,1
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-64-_jpg.rf.e9304e4b9325aaf2662012dd6ac89c0e.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-173-_jpg.rf.2287fec1e916cb2e4f985128689d6fa0.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-388-_jpg.rf.618f4726a7b540b9c8f4fdfa36c48024.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Danado/damaged_bean-457-_jpg.rf.0d62163bee597babeff19aa657444192.jpg,Danado,1
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-524-_jpg.rf.c868947b1e27725ddf5f71b396da199e.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Sano/healthy_bean-135-_jpg.rf.c6c472e610a1b7201ac9f06871b03145.jpg,Sano,0
/kaggle/input/datasets/vann234/coffevision-grain-cls/Danado/damaged_bean-273-_jpg.rf.3848736f65c95db238c7b78891164906.jpg,Danado,1
