filepath,label,label_idx
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/C6P3H1_jpg.rf.786dbba73baf776f8d7f78b6ddcbeead.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/C4P15H1_jpg.rf.5b42e6c7441ac50ec9ad1df653f1b2b2.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Enfermedad-Roya/C5P30H1_jpg.rf.ae907021ada4309b2889fe100bbb46b8.jpg,Enfermedad-Roya,1
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Enfermedad-Roya/1477_jpg.rf.b7588b70202cc85922200b13b2f62523.jpg,Enfermedad-Roya,1
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/1221_jpg.rf.9a0f338ac22e04066103aa8099189d5b.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/764_jpg.rf.dc0aae3e79c4408a236b41f5776272f6.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/C5P4H1_jpg.rf.277a5c928b67dc74527512db9f3f7d29.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/C3P28E1_jpg.rf.c316adc7939432924fbc3526018ec946.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/C2P39H1_jpg.rf.085193c75d5086607650c93a51b0f771.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Enfermedad-Roya/C1P19E2_jpg.rf.65a51f43dc7e6c2f998181882fffb27f.jpg,Enfermedad-Roya,1
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/695_jpg.rf.3595c668b72bec6fe5e4ba75b74d4260.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Enfermedad-Roya/C4P24H2_jpg.rf.ba2501343c19cb7bd42b73e4b84b6d0f.jpg,Enfermedad-Roya,1
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/1423_jpg.rf.c9fc1493c8b60a815c1cfdfea2aa9b26.jpg,Sanas,0
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Enfermedad-Roya/C1P30E2_jpg.rf.b71c6b01c438d92f8da478e558c686e5.jpg,Enfermedad-Roya,1
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Enfermedad-Roya/1579_jpg.rf.6217b990357170c8ee3af0d4556d1f18.jpg,Enfermedad-Roya,1
/kaggle/input/datasets/julianmedinamonje45/coffevision-leaf-cls/Sanas/1124_jpg.rf.d67996ff8b8086e4b394562d1f587f9b.jpg,Sanas,0
